"province","province_name","total_expected","total_observed","total_excess","total_excess0","se_excess","total_excess_low","total_excess_high","total_excess0_low","total_excess0_high"
"P0001","East Azerbaijan",42023.8634615389,58549,16525.136538461098,17035.058974358624,1081.6882426765465,14390.795765003108,18659.47731191909,14900.718200900634,19169.399747816617
"P0002","West Azerbaijan",28501.98846154054,39853,11351.011538459461,11609.08333333147,725.2985596696979,9919.883577779303,12782.13949913962,10177.955372651311,13040.211294011628
"P0003","Ardabil",13013.073076923474,17381,4367.926923076526,4538.099999999653,340.3344905194071,3696.393526418509,5039.460319734542,3866.566603341636,5209.633396657669
"P0004","Isfahan",46174.94038461933,63643,17468.05961538067,18280.657051278835,1195.4669229948329,15109.215637605075,19826.90359315626,15921.813073503241,20639.501029054427
"P0005","Alborz",21003.36923077096,31690,10686.63076922904,11068.383333331809,695.4047320500925,9314.488025033597,12058.773513424481,9696.240589136367,12440.52607752725
"P0006","Ilam",4602.717307692571,6175,1572.282692307429,1719.3820512818734,199.91571764809132,1177.817586191796,1966.747798423062,1324.9169451662403,2113.8471573975066
"P0007","Bushehr",7949.292307692574,10731,2781.7076923074264,3023.5474358972174,264.54144722158327,2259.7258727791846,3303.6895118356683,2501.5656163689755,3545.5292554254593
"P0008","Tehran",110794.50000000776,158213,47418.499999992244,49320.4833333266,2907.4174357410457,41681.70881216348,53155.29118782101,43583.69214549784,55057.27452115536
"P0009","Chahaar Mahal and Bakhtiari",7375.159340659322,10046,2670.840659340678,2809.5064102564274,329.7369620109985,2018.448004255956,3323.2333144254,2157.1137551717056,3461.8990653411493
"P0010","South Khorasan",7373.434615384866,8714,1340.5653846151336,1736.3525641024025,288.2142525725442,771.8734025009801,1909.257366729287,1167.660581988249,2305.0445462165562
"P0011","Razavi Khorasan",58592.93846154264,78056,19463.06153845736,20847.388461535134,1607.9916104599843,16290.2415685454,22635.881508369323,17674.568491623173,24020.208431447096
"P0012","North Khorasan",9033.998076923834,11154,2120.0019230761663,2478.754487178954,286.8130481009235,1554.074737432696,2685.9291087196366,1912.827301535484,3044.6816728224244
"P0013","Khuzestan",38962.59230769553,53552,14589.40769230447,15365.530769228128,976.6436542019113,12662.336388335916,16516.478996273025,13438.459465259573,17292.602073196682
"P0014","Zanjan",9587.921153847623,13340,3752.078846152377,3938.2685897423294,372.7489419828083,3016.586646321624,4487.57104598313,3202.776389911576,4673.760789573083
"P0015","Semnan",6656.463461538748,8525,1868.5365384612523,2057.0499999997905,216.19369067349479,1441.9524352384676,2295.120641684037,1630.4658967770058,2483.6341032225755
"P0016","Sistan and Baluchistan",26350.13076923212,28931,2580.8692307678793,4401.80128205059,941.4839739355197,723.1734975170205,4438.5649640187385,2544.105548799731,6259.497015301449
"P0017","Fars",41239.42500000126,54414,13174.574999998738,13825.133333332393,1132.8170314729746,10939.349096870006,15409.80090312747,11589.90743020366,16060.359236461125
"P0018","Qazvin",10894.046153846062,15994,5099.953846153938,5255.626923077005,424.80464315668036,4261.747572967426,5938.1601193404495,4417.420649890493,6093.833196263517
"P0019","Qom",11412.21538461576,16576,5163.78461538424,5519.562820512537,345.7786027855873,4481.509130269905,5846.060100498576,4837.287335398201,6201.838305626872
"P0020","Kurdistan",12922.596153847082,19090,6167.403846152918,6420.976923076142,468.78141586642664,5242.424494202738,7092.383198103098,5495.997571125962,7345.956275026322
"P0021","Kerman",26666.213461540152,33168,6501.786538459848,7340.203846152657,748.4010451799694,5025.073745803718,7978.499331115978,5863.4910534965275,8816.916638808787
"P0022","Kermanshah",20802.59615384689,27354,6551.403846153109,6844.3333333327555,478.59636420473225,5607.058059770773,7495.749632535445,5899.9875469504195,7788.6791197150915
"P0023","Kohgiluyeh and Boyer Ahmad",5510.075000000146,6699,1188.9249999998538,1417.1333333332304,219.82702757822918,755.1717524769556,1622.678247522752,983.3800858103323,1850.8865808561286
"P0024","Golestan",16553.276923077843,23342,6788.723076922157,6920.557692306893,513.7819711938324,5774.950562326633,7802.495591517681,5906.785177711369,7934.330206902417
"P0025","Gilan",30954.41923076869,39303,8348.58076923131,8788.787179487681,806.2277116817656,6757.766882342572,9939.394656120048,7197.973292598943,10379.60106637642
"P0026","Lorestan",17055.257692306805,21604,4548.7423076931955,4942.434615385377,487.00645790903246,3587.8020856930007,5509.68252969339,3981.494393385182,5903.3748373855715
"P0027","Mazandaran",31468.05576923197,41640,10171.94423076803,10499.673076922078,864.8336636913831,8465.491596959073,11878.396864576986,8793.220443113121,12206.125710731034
"P0028","Markazi",14499.038461539432,19486,4986.961538460568,5200.906410255592,426.15703844248577,4146.086776992086,5827.836299929049,4360.0316487871105,6041.781171724074
"P0029","Hormozgan",12089.76730769273,15457,3367.2326923072706,3753.3865384612213,412.5181041527821,2553.269690080064,4181.195694534477,2939.4235362340146,4567.349540688428
"P0030","Hamedan",20372.080769231557,25869,5496.9192307684425,5952.899999999371,456.17938080873915,4596.805673037875,6397.03278849901,5052.7864422688035,6853.013557729939
"P0031","Yazd",9340.742307691655,12151,2810.257692308345,3287.0500000004868,337.53058215901916,2144.2568471771965,3476.258537439494,2621.049154869338,3953.0508451316355
"P9999","Iran",717452.4500000322,970700,253247.5499999678,259641.43333330535,14772.576835931262,224098.9359853128,282396.1640146228,230492.81931865035,288790.04734796035
