Province,First_26_10_2021,Second_26_10_2021
East Azerbaijan,2757239,1825778
West Azerbaijan,2097929,1177545
Ardabil,872939,529750
Isfahan,3357237,2123804
Alborz,1674868,1024134
Ilam,354632,220472
Bushehr,701033,455940
Tehran,9108037,5925357
Chahar Mahaal and Bakhtiari,601841,372266
South Khorasan,492907,297844
Razavi Khorasan,4056507,2202458
North Khorasan,561013,316377
Khuzestan,2564132,1448144
Zanjan,742094,461275
Semnan,473468,302287
Sistan and Baluchistan,1322753,536310
Fars,3354288,2302490
Qazvin,879200,540260
Qom,665024,366121
Kurdistan,862390,456647
Kerman,1872354,1070721
Kermanshah,1179229,744307
Kohgiluyeh and Boyer-Ahmad,458539,290440
Golestan,1134923,607404
Gilan,1898681,1177285
Lorestan,1047293,596741
Mazandaran,2383326,1387785
Markazi,1003921,620618
Hormozgan,1249497,735253
Hamedan,1122693,636549
Yazd,757341,452068
